TableA.xlsx - TABLE A
;Label;Parameter;Implication(s);Ga;Ck;Qui;Ka;Ku;Inu;TP;Rib;SMX;Mus;Aid;Ncs;RG;CT;SFM;RC;Nic;CZ;Cut;Ver;FS;Fel;PCa;SMC;FrM;Gar;Bar;BA;TA;Mes;Cel;Bot;TE;Sav;RE;Cor;Nov;PR;Cas;Pvi;MdL;TS;It;Sp;Nis;Fr;Ptg;PtgB;Rm;LNT;Lat;LSa;LIt;HG;ClG;NTG;SaG;CGA;CGB;Grk;RPG;Ph1;Ph2;Cap;CyG;Got;Bw;WS;E;Du;Afk;D;Da;Ice;FO;Nor;Swe;Blg;BlC;SC;Slo;Po;Rus;Ir;Wel;Ma;Hi;Far;Pas;Ta;Te;Man;Can;Jap;Kor;Ar;Heb;Hu;Kh1;Kh2;Est;Fin;mM1;mM2;Ud1;Ud2;Yu;Ev1;Ev2;Ek;Ya;Uz;Kaz;Kyr;Tur;Bur;cB;wB;Wo;Ee;Nde;Mal;Mly;Arc;Lak;Label;
85;OPK;± null possessive licensing article with kinship nouns;+DGR, -GSI;0;0;0;0;0;0;-;-;-;-;+;+;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;+;-;-;-;-;+;+;-;+;+;+;-;-;-;-;?;+;0;0;;;0;+;?;-;-;-;-;+;-;-;-;-;0;?;?;-;-;-;-;+;+;+;+;-;-;-;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;+;+;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;0;OPK;85
98;PPK;± null 1st person possessive licensing article with kinship nouns;+OPK;0;0;0;0;0;0;0;0;0;0;-;+;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;-;0;0;0;0;-;-;0;+;+;-;0;0;0;0;?;+;0;0;;;0;+;?;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PPK;
99;POK;± null 2nd person possessive licensing article with kinship nouns;+PPK;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;+;0;0;0;0;0;?;+;0;0;;;0;?;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;POK;
86;TSP;± split deictic demonstratives;-FSN or +DGR;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;+;+;+;-;+;+;+;-;-;-;-;+;-;?;-;0;0;;;0;-;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;0;+;0;0;0;TSP;86
100;TPP;±  spread deixis on demonstratives;+TSP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;0;-;-;-;0;-;-;+;0;0;0;0;-;0;?;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;0;0;0;TPP;
87;TDP;± split demonstratives;+TSP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;-;-;+;0;+;-;-;0;0;0;0;-;0;?;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;TDP;87
88;TDC;± D-checking demonstratives;-TSP;0;0;0;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;+;0;0;0;+;0;0;0;+;+;+;+;0;+;?;+;0;0;;;0;-;-;+;-;+;-;-;-;-;-;-;0;0;+;+;+;+;+;+;+;+;+;+;+;-;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;-;+;+;0;0;0;0;0;TDC;88
89;TSA;± structured demonstratives (adjectival);¬+UST, ¬+TSP, ((+DGR, +NM1) or (-ARR, -NM1) or -NUC);0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;0;-;?;+;0;0;;;0;-;-;0;0;0;-;-;+;-;-;-;0;?;-;-;-;-;-;-;-;-;-;-;+;+;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;?;0;0;TSA;89
90;TAR;± unstructured demonstratives;+ARR, ¬+TSP;-;-;+;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0;0;0;-;0;0;0;-;-;+;-;0;-;+;-;+;+;;;+;+;+;-;-;-;+;0;0;0;0;+;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;-;+;0;0;+;+;+;+;0;0;0;0;0;0;0;0;0;0;0;-;+;+;+;+;+;+;+;+;-;0;0;-;?;?;0;0;0;0;TAR;90
91;TLC;± demonstrative in Loc;¬+TSP, ¬+TDC, (+TSA or (+PNP, +TAR));0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;?;+;;;?;+;+;0;0;0;+;0;+;0;0;+;0;?;0;0;0;0;0;0;0;0;0;0;0;+;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;+;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;TLC;91
92;TND;± long distance D-checking demonstratives;+CGR, (+TSA or +TAR);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;;;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;-;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;TND;92
93;TDA;± split def on adjectival demonstratives;(+DSA or +DSS), (+TSA or +TAR);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;;;0;-;-;0;0;0;-;0;-;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;TDA;93
94;TNL;± DP under Loc;+TSP or +TLC or (¬+TSP, ¬+TDC, ¬+TSA, ¬+TAR);-;-;0;+;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;-;-;-;0;-;-;-;0;0;0;0;-;0;?;0;?;+;;;?;+;+;0;+;0;+;+;+;+;+;+;+;?;0;0;0;0;0;0;0;0;0;0;0;+;+;+;+;+;0;0;0;0;+;0;+;+;0;0;0;0;+;0;+;+;+;+;+;+;+;+;+;+;0;0;0;0;0;0;0;0;+;0;+;0;0;?;-;-;+;+;TNL;94
101;LPO;± possessive linker;-LKA, -APO;?;?;-;?;?;?;0;0;0;0;0;0;0;0;-;0;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;+;-;-;-;-;-;-;-;-;0;0;0;0;-;0;?;+;0;0;;;0;0;0;-;-;-;-;0;0;0;0;-;-;?;0;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;-;-;-;-;0;-;-;-;0;0;0;0;-;-;0;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;?;0;0;-;-;-;LPO;
102;PGE;± adpositional genitive possessives;+GAD, ¬+LPO;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;+;?;?;+;?;?;?;?;?;?;?;0;0;0;0;?;?;?;?;0;?;?;?;0;0;0;0;?;?;0;0;0;0;0;0;0;?;?;+;0;0;0;0;0;0;0;0;?;?;?;0;?;0;0;0;0;0;PGE;
103;DPP;± 'partitive' articles;-FSN or +DGR;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;-;?;+;-;?;-;0;0;;;0;-;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;0;-;0;0;0;DPP;
104;GMD;"± gender marking on cardinal ""two""";+FGG, ¬+UST;?;0;0;?;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;-;-;-;-;-;+;+;+;+;+;-;-;-;-;-;-;?;-;-;?;-;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;?;?;?;0;-;0;+;-;-;-;-;-;+;+;+;+;+;+;?;+;-;-;0;-;-;-;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;?;0;0;0;+;-;GMD;
105;GMC;± gender marking on cardinals;-GPC, +GMD;?;0;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;-;-;-;0;0;0;0;0;+;+;+;+;+;0;0;0;0;0;0;?;0;0;?;0;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;?;?;?;0;0;0;+;0;0;0;0;0;+;+;+;+;+;+;?;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;+;0;GMC;
106;CEX;± casa-raising to D;+NEX;0;0;0;0;0;0;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;-;+;-;-;+;+;+;+;+;+;+;+;+;-;?;-;-;?;+;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;?;0;0;0;0;0;0;0;;
107;PKE;± poss. weaking with articleless kinship nouns;+NEX, -PDC, -PCL, (-WAP or +NM1);0;0;0;0;0;0;0;0;0;0;0;+;0;0;0;0;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;0;0;0;0;0;0;0;0;0;-;0;?;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;?;0;0;0;0;0;0;0;;
108;PKP;± person restrictions on articleless weaken possessives;+PKE;0;0;0;0;0;0;0;0;0;0;0;-;0;0;0;0;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;?;?;0;0;0;0;0;0;0;;
;;;;Ga;Ck;Qui;Ka;Ku;Inu;TP;Rib;SMX;Mus;Aid;Ncs;RG;CT;SFM;RC;Nic;CZ;Cut;Ver;FS;Fel;PCa;SMC;FrM;Gar;Bar;BA;TA;Mes;Cel;Bot;TE;Sav;RE;Cor;Nov;PR;Cas;Pvi;MdL;TS;It;Sp;Nis;Fr;Ptg;PtgB;Rm;LNT;Lat;LSa;LIt;HG;ClG;NTG;SaG;CGA;CGB;Grk;RPG;Ph1;Ph2;Cap;CyG;Got;BW;OE;E;Du;Afk;D;Da;Ice;FO;Nor;Swe;Blg;BlC;SC;Slo;Po;Rus;Ir;Wel;Ma;Hi;Far;Pas;Ta;Te;Man;Can;Jap;Kor;Ar;Heb;Hu;Kh1;Kh2;Est;Fin;mM1;mM2;Ud1;Ud1;Yu;Ev1;Ev2;Ek;Ya;Uz;Kaz;Kyr;Tur;Bur;cB;wB;Wo;Ee;Nde;Mal;Mly;Arc;Lak;;
