TableA.xlsx - TABLE A
;Label;Parameter;Implication(s);Ga;Ck;Qui;Ka;Ku;Inu;TP;Rib;SMX;Mus;Aid;Ncs;RG;CT;SFM;RC;Nic;CZ;Cut;Ver;FS;Fel;PCa;SMC;FrM;Gar;Bar;BA;TA;Mes;Cel;Bot;TE;Sav;RE;Cor;Nov;PR;Cas;Pvi;MdL;TS;It;Sp;Nis;Fr;Ptg;PtgB;Rm;LNT;Lat;LSa;LIt;HG;ClG;NTG;SaG;CGA;CGB;Grk;RPG;Ph1;Ph2;Cap;CyG;Got;Bw;WS;E;Du;Afk;D;Da;Ice;FO;Nor;Swe;Blg;BlC;SC;Slo;Po;Rus;Ir;Wel;Ma;Hi;Far;Pas;Ta;Te;Man;Can;Jap;Kor;Ar;Heb;Hu;Kh1;Kh2;Est;Fin;mM1;mM2;Ud1;Ud2;Yu;Ev1;Ev2;Ek;Ya;Uz;Kaz;Kyr;Tur;Bur;cB;wB;Wo;Ee;Nde;Mal;Mly;Arc;Lak;Label;
19;CGR;± long distance Specified Quantity;-CGB, +DGR;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;0;0;;;0;+;+;-;-;-;-;-;-;-;-;-;0;0;+;-;-;-;-;-;+;-;-;-;+;+;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;0;0;0;0;0;CGR;19
20;NWD;± long distance reference;-FSN or +DGR;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;0;0;;;0;-;-;-;-;-;-;-;-;-;-;-;0;0;+;+;+;+;+;+;+;+;+;+;-;-;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;+;+;0;-;0;0;0;NWD;20
21;FVP;± variable person;+FGA, -NWD;0;0;0;0;0;0;-;-;+;-;+;+;+;+;-;+;-;+;+;+;-;-;-;-;-;+;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;+;+;-;-;?;+;0;0;;;0;+;?;-;+;+;+;-;-;-;-;+;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;0;0;0;0;0;0;0;FVP;95
96;FVN;± variable person with quantifiers;-FVP;0;0;0;0;0;0;-;-;0;+;0;0;0;0;-;0;+;0;0;0;+;+;-;-;-;0;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;0;0;-;-;?;0;0;0;;;0;0;?;-;0;0;0;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FVN;95
22;DGD;± grammaticalized distality;-FSN or +DGR;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;0;0;;;0;-;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;+;+;-;0;-;0;0;0;DGD;21
23;DPQ;± free null partitive Q;+FNN, -CGB;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;-;-;-;-;-;0;0;-;?;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;-;0;0;0;0;0;0;-;-;0;0;0;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;DPQ;22
24;DCN;± article-checking N;-FSN or +DGR;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;+;0;0;;;0;-;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;-;+;+;+;+;+;+;+;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;0;-;0;0;0;DCN;23
25;DNN;± null-N-licensing art;-DCN;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;+;?;0;0;0;;;0;+;+;-;-;-;-;-;-;-;-;-;0;0;+;-;+;+;+;0;0;0;0;0;0;0;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;-;-;0;-;0;0;0;DNN;24
26;DIN;± D-controlled inflection on N;+FSN, +DGR;0;0;0;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;?;-;0;0;;;0;-;-;-;-;-;-;-;-;-;-;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;-;-;0;0;0;0;0;0;0;0;0;0;+;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;DIN;25
27;FGC;± grammaticalized classifier;¬+FGN;0;-;0;0;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;?;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;+;+;+;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;FGC;26
